Year,Month,Day,Hour,Minute,Temperature,GHI
2017,1,1,0,30,24.4,0
2017,1,1,1,30,24.2,0
2017,1,1,2,30,23.9,0
2017,1,1,3,30,23.7,0
2017,1,1,4,30,23.6,0
2017,1,1,5,30,24.5,0
2017,1,1,6,30,25,24
2017,1,1,7,30,26,116
2017,1,1,8,30,26.9,516
2017,1,1,9,30,27.5,704
2017,1,1,10,30,27.8,831
2017,1,1,11,30,28,870
2017,1,1,12,30,28.1,856
2017,1,1,13,30,28,765
2017,1,1,14,30,27.7,488
2017,1,1,15,30,27.3,253
2017,1,1,16,30,26.6,161
2017,1,1,17,30,25.9,0
2017,1,1,18,30,25.6,0
2017,1,1,19,30,25.4,0
2017,1,1,20,30,25.2,0
2017,1,1,21,30,25.1,0
2017,1,1,22,30,24.9,0
2017,1,1,23,30,24.8,0
2017,1,2,0,30,24.6,0
2017,1,2,1,30,24.5,0
2017,1,2,2,30,24.4,0
2017,1,2,3,30,24.3,0
2017,1,2,4,30,24.3,0
2017,1,2,5,30,24.5,0
2017,1,2,6,30,25.1,70
2017,1,2,7,30,26.1,293
2017,1,2,8,30,27,517
2017,1,2,9,30,27.6,703
2017,1,2,10,30,28,828
2017,1,2,11,30,28.3,875
2017,1,2,12,30,28.3,854
2017,1,2,13,30,28.1,762
2017,1,2,14,30,27.9,583
2017,1,2,15,30,27.4,379
2017,1,2,16,30,26.7,159
2017,1,2,17,30,26.2,0
2017,1,2,18,30,25.9,0
2017,1,2,19,30,25.7,0
2017,1,2,20,30,25.6,0
2017,1,2,21,30,25.4,0
2017,1,2,22,30,25.2,0
2017,1,2,23,30,25,0
2017,1,3,0,30,24.8,0
2017,1,3,1,30,24.6,0
2017,1,3,2,30,24.4,0
2017,1,3,3,30,24.2,0
2017,1,3,4,30,24.1,0
2017,1,3,5,30,24.1,0
2017,1,3,6,30,24.9,66
2017,1,3,7,30,26.1,287
2017,1,3,8,30,27.1,512
2017,1,3,9,30,27.8,700
2017,1,3,10,30,28.4,830
2017,1,3,11,30,28.7,890
2017,1,3,12,30,28.9,869
2017,1,3,13,30,28.9,774
2017,1,3,14,30,28.6,613
2017,1,3,15,30,28,404
2017,1,3,16,30,27.1,173
2017,1,3,17,30,26.2,0
2017,1,3,18,30,25.8,0
2017,1,3,19,30,25.4,0
2017,1,3,20,30,25.1,0
2017,1,3,21,30,24.8,0
2017,1,3,22,30,24.4,0
2017,1,3,23,30,24.2,0
2017,1,4,0,30,23.9,0
2017,1,4,1,30,23.6,0
2017,1,4,2,30,23.4,0
2017,1,4,3,30,23.1,0
2017,1,4,4,30,23,0
2017,1,4,5,30,23.2,0
2017,1,4,6,30,24.3,66
2017,1,4,7,30,25.7,289
2017,1,4,8,30,26.7,514
2017,1,4,9,30,27.4,700
2017,1,4,10,30,27.9,827
2017,1,4,11,30,28.2,862
2017,1,4,12,30,28.3,842
2017,1,4,13,30,28.2,748
2017,1,4,14,30,27.8,596
2017,1,4,15,30,27.3,386
2017,1,4,16,30,26.5,160
2017,1,4,17,30,25.7,0
2017,1,4,18,30,25.3,0
2017,1,4,19,30,25.1,0
2017,1,4,20,30,25,0
2017,1,4,21,30,24.8,0
2017,1,4,22,30,24.6,0
2017,1,4,23,30,24.5,0
2017,1,5,0,30,24.3,0
2017,1,5,1,30,24.1,0
2017,1,5,2,30,23.9,0
2017,1,5,3,30,23.7,0
2017,1,5,4,30,23.7,0
2017,1,5,5,30,23.8,0
2017,1,5,6,30,24.8,50
2017,1,5,7,30,26.1,256
2017,1,5,8,30,27,476
2017,1,5,9,30,27.6,661
2017,1,5,10,30,28,790
2017,1,5,11,30,28.3,849
2017,1,5,12,30,28.4,830
2017,1,5,13,30,28.2,563
2017,1,5,14,30,27.9,582
2017,1,5,15,30,27.3,378
2017,1,5,16,30,26.4,157
2017,1,5,17,30,25.7,0
2017,1,5,18,30,25.3,0
2017,1,5,19,30,25,0
2017,1,5,20,30,24.7,0
2017,1,5,21,30,24.5,0
2017,1,5,22,30,24.3,0
2017,1,5,23,30,24.1,0
2017,1,6,0,30,23.8,0
2017,1,6,1,30,23.6,0
2017,1,6,2,30,23.4,0
2017,1,6,3,30,23.2,0
2017,1,6,4,30,23.2,0
2017,1,6,5,30,23.4,0
2017,1,6,6,30,24.6,62
2017,1,6,7,30,25.8,283
2017,1,6,8,30,26.6,511
2017,1,6,9,30,27.4,699
2017,1,6,10,30,27.9,597
2017,1,6,11,30,28.2,536
2017,1,6,12,30,28.3,847
2017,1,6,13,30,28.2,752
2017,1,6,14,30,27.9,439
2017,1,6,15,30,27.3,201
2017,1,6,16,30,26.4,164
2017,1,6,17,30,25.6,0
2017,1,6,18,30,25.2,0
2017,1,6,19,30,24.9,0
